toki pona, english
jan pi ma sama :: fellow citizen of same country or land ,
jan pi ma tomo,"city dweller, urbanite"
jan pi musi sijelo,n athlete
jan pi nanpa tu tu :: 4th person ,
jan pi nanpa wan li lon. :: The first person is here. ,
jan pi nasin sewi Kolisu,Christian
jan pi pana sona,n teacher
jan pi pona ijo,repairman
jan pi pona ike,repairman
jan pi pona lukin,"n attractive person, cutie, beaut"
jan pi pona pilin,n good psychotherapist(??)
jan pi pona sijelo,"n good doctor, healer, chiropractor(?), health-nut(?)"
jan pi sona kasi,orchard keeper
jan pi sona nanpa,n mathematician
jan pi sona toki,"n linguist, polyglot(?)"
jan pi tenpo kama,posterity
jan pi tenpo kama sama,posterity
jan pi toki awen,"writer, author"
jan pi toki musi,n singer
jan pi toki musi,n comedian
"jan pi tomo pali :: office worker, etc. ",
jan pi tomo sama,"n housemate, roommate (flatmate UK)"
jan pi wawa ala,"n weak person, weakling, wuss"
jan pi weka lipu,person who removes web pages
jan pi wile ala,person without desires
jan poka,"n neighbor, person beside you"
jan poka,n neighbor
jan pona,repairman
jan pona,"n friend, good person, positive person"
jan pona sewi,saint
jan pona sewi,saint
jan sama,"n similar person, counterpart, person in same situation, peer, sibling, sister, brother (alike-person)"
jan sama pi mama mi,"n aunt, uncle"
jan San li seme? :: Who is John? ,
jan San o tawa tomo sina!,"Go home, John!"
jan Santa,Santa Claus
jan seme,"n who, anybody (whoever?)"
jan seme li lon? / jan seme li lon ni? :: Who's there? ,
jan seme li meli sina? :: Who is your girlfriend/wife? ,
jan seme li moku? :: Who is eating? ,
jan seme li olin e sina?,Who loves you?
jan seme li tawa poka sina?,Who went with you?
jan seme pi kulupu ni li suli?,Which people of this group are important?
jan Sesi o moku e kili ni.,"Jessie, eat this fruit."
jan sewi,"n god, priest(?), the faithful(?)"
jan sewi (pi sijelo ala),"atman, self"
jan sewi ale,god
jan sewi lili,priest
jan sewi meli,goddess
jan sin,"n youth, young person, (newbie?), simply ""more people"""
jan sona,"n knowledgeable person, wise person, educated person, specialist, scientist, savant, expert"
jan sona nanpa,n mathematician
jan sona pi kulupu jan,sociologists
jan sona pilin,n psychologist
jan sona sijelo,"n doctor, physician"
jan sona sijelo,surgeon (plastic?)
jan suli,n celebrity(?)
jan suli,"n adult, big tall or fat person mod adult"
jan suli,(human) lord
jan suli ,lord
jan suli lili,teenager
jan suli lili,dwarf
jan suli pi nasin lawa,n policeman
jan Susan anu jan Lisa li moku e suwi? :: Susan or Lisa ate the cookies? ,
jan Susan li nasa. :: Susan is crazy. ,
jan Suwasi,Swiss (person)
"jan Ta o toki ala tawa mi. :: Todd, don't talk to me. ",
jan tawa awen,settler
jan toki,"n speaker (person), messenger, herald, person communicating, interlocutor, (prophet?)"
jan tu olin,n couple
jan unpa,"n lover, prostitute, sexual partner"
jan utala,n soldier
jan utala,n soldier
jan utala ali li nasa,All soldiers are stupid.
jan utala lawa,General
jan utala li seli ala seli e tomo?,Is the warrior burning the house?
jan utala nasa,n stupid soldier
jan utala pi ma Mewika li ike tawa ma ali.,Soldiers of the USA are bad for the world.
jan wawa,"n enchanter, magician, sorcerer"
jan wawa,"n strong person, (medicine man? A8)"
jan weka,n editor(?) (person in charge of getting rid of things?)
jan wile,person with desires
JAN*,"n person, people, human being, member, somebody, anybody mod personal, human, somebody's, of people vt personify, humanize, personalize"
jelo,"mod yellow, light green"
jelo,mod yellow
jelo laso,green
jelo wawa,strong. Intense yellow-green
jo,vt have
jo,vt contain
jo,"bring, supply contribute"
jo,have (NOT own)
jo ala e lawa sewi,be elitist
jo ala e pona,worthless
jo ala e selo lon pini palisa,vphr to be circumcised
