toki pona, english
"sina moku e telo nasa la sina nasa. :: If you drink beer, you'll be silly. ",
"sina moli la sina ken ala toki. :: If you are dead, you can't speak. ",
sina pakala e ilo kepeken nasin seme? :: How did you break the tool? ,
sina pakala e seme? :: What did you hurt? ,
sina pali e ni kepeken nasin seme? :: How did you make this? ,
sina pana ala pana e moku tawa jan lili? :: Did you give food to the child? ,
sina pana ala pana e moku tawa jan lili? :: Did you give food to the child? ,
"sina pana e ike, la sina kama jo e ike. :: If you give evil, you will receive evil. ",
sina pilin e seme? :: What are you thinking? ,
sina pilin seme? :: how are you? how are you feeling? ,
sina pilin seme? :: How do you feel? ,
sina pona ala pona? :: Are you okay? ,
sina pona. :: You are good. / You fix. ,
sina sona ala sona e toki Inli? :: Do you speak English? ,
sina sona ala sona e toki mi? :: Do you understand what I'm saying? sona Yes sona ala No ,
sina sona e toki ni la sina sona e toki pona! :: Figure this one out for yourself. :o) ,
sina suli. :: you (are) big/important. ,
sina suli. :: You're tall. ,
sina tawa ma tomo tan seme? :: Why did you go to the city? ,
sina tawa ma tomo tan seme? :: Why did you go to the city? ,
sina tawa poka jan seme? :: Whom did you go with? ,
sina tawa seme?,Where are you going?
sina toki e ni tawa mi: sina moku. :: You told me that you are eating. ,
sina toki e ni tawa mi: sina moku. :: You told me that you are eating. ,
"sina toki pi mama anu jan lili? :: Are you talking about the parent, or is the child that you're talking about? ",
sina toki tawa jan seme? :: Whom are you talking to? ,
sina toki tawa jan seme? :: Whom are you talking to? ,
"sina toki tawa mi anu ona? :: Are you talking to me, or are you talking to him? ",
"sina toki tawa mi anu ona? :: Are you talking to me, or are you talking to him? ",
sina toki tawa mi anu seme? :: You ask _me_? ,
sina toki tawa mi anu seme? :: You ask _me_? ,
sina wile ala wile moku? :: Do you want to eat? wile Yes wile ala No ,
sina wile ala wile pali? wile ala. :: Do you want to work? No. ,
sina wile e mani anu seme? :: Do you want the money or what? ,
"sina wile e moku anu telo? :: Do you want food, or do you want water? ",
sina wile kama anu seme? :: Do you want to come or what? ,
sina wile kama tawa tomo toki. :: You should come to the chat room. ,
sina wile kama tawa tomo toki. :: You should come to the chat room. ,
sina wile kepeken e ilo. :: You have to use tools. ,
sina wile moku anu seme? :: Do you want to eat or what? ,
sina wile pali e seme? :: What do you want to do? ,
sina wile tawa e kiwen ni la sina wile pali mute,This rock is heavy
sina wile tawa ma seme? :: What place do you want to go to? ,
sina wile tawa ma seme? :: What place do you want to go to? ,
sina wile tawa telo suli. :: You want to go to the ocean. ,
sina wile tawa telo suli. :: You want to go to the ocean. ,
sina wile toki e tan tawa mi. :: You have to tell me why. ,
"sina wile toki tawa mije anu meli? :: Do you want to talk a male, or a female? ",
"sina wile toki tawa mije anu meli? :: Do you want to talk a male, or a female? ",
SINA*,n you mod your
sinpin,n front
sinpin,n face
sinpin,"n fence, wall"
sinpin,n chest
sinpin,haunches?
sinpin,wall
sinpin,rooms? partitions?
sinpin,"compared to, by standard of"
sinpin lawa,face
sinpin sike,shield
sinpin suli,n wall
sinpin suno,computer (tv?) screen
sinpin suno,screen (tv)``
SINPIN*,"n wall, chest, abdomen, face, torso, front prep in front of"
sitelen,vt draw
sitelen,n picture
sitelen,"writing, written text/message"
sitelen,text
sitelen,message -- physical form
sitelen ,literally
sitelen e linja,draw a lone (make a distinction)
sitelen e linja,"draw a line, make a distinction"
sitelen e toki,"to write(?), to transcribe"
sitelen ike,spam
sitelen jan sewi tu wan lon jan sewi wan,Trinity
sitelen kalama,letter of the alphabet
sitelen lape ike,nightmare
sitelen lili,letter of alphabet
sitelen lili,"character, glyph, letter"
sitelen lili lili,lower case letters
sitelen lili nanpa,numeral
sitelen lili sin,punctuation marks
sitelen lili suli,captal letters
sitelen lili toki,letter (alphabet)
sitelen ma,"n map, photo of countryside(?)"
sitelen moku,spam
sitelen nanpa,numerals
sitelen pi ilo nanpa,n computer screen
sitelen pi jan sewi,"idol, statue of god"
sitelen sama lipu sona,web page
sitelen selo,?
sitelen sinpin,previous writing/message
sitelen suno,photograph
sitelen tawa,"TV show, movie, film"
sitelen toki,written message
sitelen toki,"writings, text"
sitelen toki,ideography
sitelen toki,writing
sitelen toki,"picture books, ideography?, hiieroglyphics, cave drawings"
sitelen toki,writing system
sitelen toki,writing system
sitelen toki,"letter, e-mail message, etc."
sitelen toki,"writing, transcription"
sitelen tomo,structure (how fit together)
sitelen unpa,"n visual erotica, porn"
SITELEN*,"vt write, draw vi write, draw n image, picture"
skyscraper,tomo sewi
snore,kalama
snow,kon telo walo
"society, company, gathering",sike jan
"some (thing, one)",ale ala
sona,"n information, science"
sona,n intelligence
sona,plan
sona,"information, message (content)"
sona ala,uneducated
sona ala e ike,innocent
sona ale,know completely
sona e,know how to
sona e ken ale,?
sona e nasin lukin jo sona lon,?
"sona e toki :: to know, speak, understand a language ",
sona ike,vi be wrong
sona ilo,n technology
sona kama,lesson (text)
sona kama ala la,"unexpectedly, suddenly, (unbeknownst to Y...?)"
sona lukin,"know by view, picture to yourself, imagine"
sona mani,n economics
sona mute,"mod smart, intelligent, wise"
sona nanpa,n mathematics
sona nimi,means
sona pi ante toki,comparative linguisrics
sona pi insa toki,syntax
sona pi kalama nimi,phonetics
sona pi kalama toki,phonetics
sona pi lukin ala,cryptology
sona pi nasin pona en ike,knowledge of good and evil
sona pi sona toki,semantics
sona pi tenpo kama,omen
sona pilin,believe
sona pona,explain
sona pona,conscience
sona pona,useful information?
sona pona e toki,vphr master a language
sona tawa,?laptop?
sona toki,n linguistics
sona toki,linguistics
sona toki,linguistics
sona toki pi tenpo pini,classical phililogy
SONA*,"vt understand, know how to, know vi understand, know n knowledge, understanding, wisdom affix -(o)logy"
soweli ike,rat
soweli jaki,pig
soweli jaki,"some wild beast: rat, wolf, fox, etc."
soweli jaki pi ma kasi,wild boar
soweli jan,"monkey, ape"
soweli jan,"monkey, ape"
soweli kala suli,whale
soweli kasi linja,zebra
soweli kiwen,automobile or train
soweli kiwen,"salami. Armadillo, statue of animal"
soweli lape ma,groundhog
soweli li toki e mu.,Cows say moo.
soweli lili,cat
soweli lili jaki,rat
soweli lili lili,mouse
soweli lili pi ilo nanpa,n computer mouse
soweli lili pi linja kiwen,"n hedgehog, porcupine"
soweli lili pi linja kiwen,"hedgehog, porcupine"
soweli lili tomo,"hamster, gerbil, rat, mouse, etc."
soweli linja wawa,tiger
soweli loje walo,pig
soweli loje walo lon ma,wild boar
soweli loje walo seli,roast pig
soweli lukin sama jan,"n monkey, ape, humanoid mammal"
soweli mani,animal symbolizing wealth
soweli moku,
soweli moku jaki,pig
soweli mu,"cow, cattle"
soweli mu,"cow, cattle"
soweli musi,cat?
soweli nasa,n orangutan
soweli pi awen tomo,dog
soweli pi jan Kolin li pona tawa iki. sama la soweli mi li pona tawa mi.,olin like his dog as much as I like my cat
soweli pi moku kili kiwen,chipmunk
soweli pi moku pipi,anteater
soweli pi nena kiwen,rhinoceros
soweli pi nena palisa,unicorn
soweli pi nene linja,elephant
soweli pi palisa lawa,elepphant
soweli pi tawa lon tu,"n bipedal (animal), biped"
soweli suli,n elephant
soweli suli,dog
soweli suli ike,n bear
soweli suli palisa,giraffe
soweli suli pi lupa nena pi ma lete,bear
soweli suli pi nena tu,dromedary
soweli suli pi nene wan,camel
soweli suli walo en pimeja,big gray wolf
soweli suwi,Rabbit
soweli suwi tomo,cat
soweli suwi tomo,cat?
soweli tawa pimeja en walo,zebra
soweli tawa pimeja en walo,zebra
soweli tomo,pet
soweli tomo ko,cat
soweli tomo pi linja uta,cat
soweli tomo wawa,dog
soweli waso,bat
soweli wawa,dog?
soweli wawa pimeja,n brown bear
soweli wawa pimeja,black bear
soweli wawa tomo,dog
SOWELI*,"n mammal, animal, meat from a mammal"
"steal, rob",jo ike
suli ala,"not old, young"
suli mute,very important
suli pi nanpa wan,first in size
SULI*,"mod important, adult, big, tall, fat, heavy, long vt enlarge, cultivate, lengthen vi lengthen n size"
suno kama ni,tomorrow
suno li (ken) kama insa li ken weka,transparent(?)
suno li ken tawa tan poka wan pi ijo ni tawa poka ante,transparent
suno li lon,It's sunny. It's bright. It's daytime.
suno li lon poka pimeja.,Light is beside darkness. Opposites are interconnected. Yin and yang.
suno li lon sewi mi.,The sun is above me. I'm right-side-up(?) It's noon(?)
suno li lon sewi.,The sun is in the sky. It's daytime(?)
suno li open e X,X is transparent
suno li tawa insa (X),X is transparent
suno pona,Have a nice day! Good day!
SUNO*,"n sun, light vt shine on, light up, illuminate"
supa,n floor
supa lape,n bed
supa lawa,n pillow
supa moku,"n dining table, dinner table, picnic table"
supa monsi,"n chair, seat, couch, futon"
supa pali,"n work table, work bench, work desk"
SUPA*,"n horizontal surface, table, sofa, pillow, chair, any type of furniture, floor vi lie down"
suwi lukin,"mod cute, pretty"
SUWI*,"mod cute, sweet n candy, cookie, sweet food vt sweeten"
talk about,toki e/lon
tan ali,general prupose
tan li ni,because
tan ni la,"for this reason, this is why, therefore"
tan ni la,consequently
tan seme,why?
tan sijelo,origin of matter
TAN*,"n reason, cause, source, root, origin prep by, from, because of, due to, since"
taso,"isolate (vt), forsake, abandon, cut out"
taso*,mod sole
taso*,mod only
taso*,exactly(?)
taso*,isolate (vt)
TASO*,"conj but mod only, just, sole"
tawa,vi go to
tawa,vt displace
tawa,prep for
tawa anpa,"drop, fall"
tawa anpa telo,n sink(?)
tawa awen,keep on going
tawa e...,vt push
tawa insa,fill
tawa insa,move into
tawa insa,vt enter
tawa insa kon,inhale
tawa jo,"vt find(?), seek(?)"
tawa kama,return trip
tawa kepeken noka tu,walk
tawa kon,fly
tawa kon weka,fly away
tawa lon kon,"vi fly, soar"
tawa lon luka pona/ike,? Move right/left?
tawa lon selo telo,floated on the surface of the water
tawa luka e,throw
tawa luka wawa e,"fling, hurl"
tawa moli,"dying, moving toward death"
tawa moli,happen
tawa musi,to dance (move entertainingly)
tawa mute,run
tawa mute lon tenpo lili,vi go rapidly
tawa nasin pona la,going on the right path
tawa noka,walk
tawa noka,walk
tawa noka,walk
tawa noka wawa,run
tawa noka wawa,run
tawa pi jan utala,n troop mobilization
tawa poka ante,"vt traverse, go over"
tawa pona!,Go well! Farewell! Goodbye! Godspeed!
tawa selo kon,exhale
tawa sewi,resurrection? Ascension? (what about 'climb' or even 'go upstairs'? -chuff)
tawa sike lon,circle
tawa utala,vi go to war
tawa wawa,vi speed
tawa wawa noka,run
tawa weka,"to leave, to go away"
tawa!,interj onward! charge!
TAWA*,"prep to, in order to, towards, for, until n movement, transportation, conduct, experience mod moving, mobile; vi travel, go to, move, walk, leave"
telo (loje) mun,n menses
telo (walo) mije,"n sperm, come, semen male ejaculate"
telo e,wash
telo e mi,"vi shower, bathe"
telo insa,n pond
telo jaki,nicotine water
telo jaki,"slime, mucus -- snail grease"
telo jaki lon nena sinpin,n snot
telo jelo,"n urine, pee, piss"
telo li kama tan sewi,it is raining
telo kili,n (fruit) juice
telo kili nasa,n wine
telo kiwen,gasoline? Coal?
telo kiwen,n ice
telo kiwen lili li kama,It's hailing.
telo kon,(sea)foam
telo li kama,It's raining.
telo li pona.,Water is good.
telo li suli.,The lake is big.
telo lili li lon kon.,It's humid.
telo linja,n river
telo loje,n blood
telo mama soweli,n cow milk
telo mama soweli kon,whipped cream
telo moku,tea
telo moku,wet
telo moli,venom
telo nasa,"n intoxicating liquids, e.g. alcohol, beer, wine, whisky"
telo nasa jelo,beer
telo nasa kasi,beer (etc. - grain alcohol)
telo nasa kili,wine
telo nasa loje seli,n mulled claret(?)
telo nasa pi lawa walo,beer
telo nasa pi wawa ala,n weak beer
telo nasa pona!,generic toast
telo nasa wawa,"n strong alcoholic drinks, e.g. vodka, whisky, etc"
telo pi kon suwi,perfume?
telo pi lape ala,"n coffee, energy drink(?)"
telo pi suli mute,ocean
telo pi tawa mute,n rapids
telo seli,"n coffee, hot beverage, soup(?)"
telo seli jelo,n green tea
telo seli pimeja pi lape ala,n coffee
telo seli wawa,n coffee
telo sewi,"holy water, annointing oil"
telo sewi,rain
telo sewi,ritual bath
telo sijelo,"n sweat, urine, bodily fluid"
telo sijelo loje,n blood
telo suli,"ocean, sea"
telo suli,flood
telo suli,oil?
telo suli li ike tawa mi. :: I don't like the ocean. ,
telo suli li laso. :: The big water [ocean] is blue. ,
telo suno,oil for anointing
telo tawa,"river, stream"
telo tawa,"running water, stream, brook"
telo walo (mama),milk
telo walo mije,
telo wawa,n energy drink
TELO*,"n water, beverage, liquid, juice, sauce vt water, wash mod wet"
tenpo,n situation
tenpo,"n duration, period of time, hour"
tenpo,?
tenpo,"generations?, story?"
tenpo,hour
tenpo ala,never
tenpo ala la utala ala li ken lon.,Peace can never exist.
tenpo ale,"always, all the time"
tenpo ale ala,sometimes
tenpo ale la o kama sona!,Always learn! Commit yourself to learning!
tenpo ale la utala ala li ken ala lon,Peace cannot always exist.
tenpo ale li kama sama ni,It always happens like this
tenpo ijo,"At some time, Once upon a time"
tenpo ijo,at some time
tenpo ijo,sometime(s)
tenpo ijo,some (quantity of) time
tenpo ijo kama la,One of these days (future)
tenpo kama,future
tenpo kama lili,"mod soon, in the near future"
tenpo la p  kama la q,if p then q
tenpo la X. kama la Y,"if X then Y (when, then?)"
tenpo laso (jelo),Spring
tenpo lete,"n winter, the cool of the day (A3)"
tenpo li pini,Time passed
tenpo li pona e ike ale.,Time heals all wounds.
tenpo li sijelo e sijelo ike ale.,Time heals all wounds.(bad translation--chuff)
tenpo li tawa la sona li kama,With time comes advice. Time comes -- advice comes.
tenpo lili,n minute
tenpo lili,hour
tenpo lili,"mod briefly, soon n moment"
tenpo lili la … mute,rapidly
tenpo lili mute,second
tenpo loje ,Summer
tenpo loje (jelo),Fall
tenpo moku :: mealtime ,
tenpo mun :: month ,
tenpo mun Januwalijo >> Januwa,
tenpo mun pi nanpa luka :: May ,
tenpo mun pi nanpa luka luka :: October ,
tenpo mun pi nanpa luka luka tu :: December ,
tenpo mun pi nanpa luka luka wan :: November ,
tenpo mun pi nanpa luka tu :: July ,
tenpo mun pi nanpa luka tu tu :: September ,
tenpo mun pi nanpa luka tu wan :: August ,
tenpo mun pi nanpa luka wan :: June ,
tenpo mun pi nanpa tu :: February ,
tenpo mun pi nanpa tu tu :: April ,
tenpo mun pi nanpa tu wan :: March ,
tenpo mun pi nanpa wan :: January ,
tenpo mun tu la,for two months
tenpo mute,"era, the times"
tenpo mute :: often (many times) ,
"tenpo mute :: often, many times ",
tenpo mute lili,mod sometimes(?)
tenpo nasa,party
tenpo ni,at that time (indicated by previous sentence)
tenpo ni :: now ,
tenpo ni :: the present (this time) ,
"tenpo ni la mi lon. :: At this time, I am here. ",
tenpo open,in the beginning
tenpo pi kama seli,spring
tenpo pi kama seli,Spring
tenpo pi lete lili,"autumn, fall"
tenpo pi lete mute,winter
tenpo pi mu li kama la,late
tenpo pi mute seme,how many times?
tenpo pi mute seme la sina sike e suno? :: How old are you? ,
tenpo pi nanpa wan,first
tenpo pi seli lili,spring (season)
tenpo pi seli mute,n summer
tenpo pi selo oko tawa,"the blink of an eye, instant"
tenpo pi suno li kama la,early
tenpo pimeja :: night ,
tenpo pimeja :: night (dark time) ,
tenpo pimeja la mi lukin e sina,Let's meet after dark
tenpo pimeja ni :: tonight (this dark time) ,
tenpo pimeja ni la mun li suli. :: The moon is big tonight. ,
tenpo pimeja pini :: last night (past dark time) ,
"tenpo pimeja pini la mi kama nasa. :: Last night, I became drunk. ",
tenpo pimeja pini la mi lukin e sitelen tawa X-Files. :: Last night I watched X-Files. ,
tenpo pini,"n the past, history"
tenpo pini :: past ,
tenpo pini :: the past (past time) ,
"tenpo pini la mi weka. :: In the past, I was away. ",
tenpo pini pi kulupu mama,n genealogy
tenpo pona Kolisu :: Chrismas ,
tenpo pona suno,summer holiday
tenpo sama la...,Meanwhile...
tenpo seli,n summer
tenpo seli,Summer
tenpo seme,what time?
tenpo seme la ona li kama lon tomo sina?,When is he coming to your house?
tenpo seme?,phr when?
tenpo sike,n year
tenpo sike lili,Spring?
tenpo sin,then (later)
tenpo sin,phr again
tenpo sinpin,after that
tenpo sinpin ni,after that
tenpo suli,phr long time
tenpo pini mute,long ago
tenpo suno,n day
tenpo suno  pali ala pi nanpa wan,Sunday
tenpo suno kama,tomorrow
tenpo suno kama la mi pali e lipu sin.,I'll update my web page tomorrow.
tenpo suno kama la mi wile pali. :: I have to work tomorrow. ,
tenpo suno mute li pini la mi tawa tomo. :: A lot of days ago I went home.,
tenpo suno mute li pini la mi tawa tomo. :: A lot of days ago I went home. ?,
tenpo suno ni,today
tenpo suno pali pi nanpa wan,Monday
tenpo suno pi luka tu,n week
tenpo suno pi moku mute,n Christmas
tenpo suno pi moku mute,Thanksgiving Day (USA)
tenpo suno pi nanpa luka :: Friday ,
tenpo suno pi nanpa luka tu :: Sunday ,
tenpo suno pi nanpa luka wan :: Saturday ,
tenpo suno pi nanpa tu :: Tuesday ,
tenpo suno pi nanpa tu tu :: Thursday ,
tenpo suno pi nanpa tu wan :: Wednesday ,
tenpo suno pi nanpa wan :: Monday ,
tenpo suno pi pali ala :: (public) holiday ,
tenpo suno pilin,?
tenpo suno pini :: yesterday ,
tenpo suno pini :: yesterday (past sun time) ,
tenpo suno pini la wan pi ilo HTML li pona lili. tenpo suno pini la wan pi ilo HTML li pona mute. :: The HTML part is better now. ,
tenpo suno sewi,n Sunday
tenpo suno sike,year
tenpo suno sin :: morning ,
tenpo suno sin ale la sina moku e telo seli pimeja :: Every morning I drink coffee. ,
tenpo telo :: rainy season ,
tenpo telo :: rainy season ,
tenpo tenpo la,?
tenpo tu tu la mi sike e suno. :: Four times (la) I circled the sun. ,
tenpo wan la,"In the first place?, at first?"
tenpo*,n moment
TENPO*,"n time, period of time, moment, duration, situation"
"text, literature, dictionary",toki qwen
Thank you,pona tawa sina
thanks interj pona,
that mod ni,
"the reason for, the why",tan
their mod ona,
there are some,li lon li …
there is/ are (?),li jo e …
Therefore(?),lon la
they n ona,
they n/adj ona mute,
think vt pilin,
toki,vi chat
toki,n speech
toki (pona) sewi,prayer
toki akesi,talking to Esperanto speakers in other than Esperanto (all this English about tp?)  What is the Esperanto for this?
toki ala,"not at all, think nothing of it (reply)"
toki Alapi,Arabic (language)
toki ante,translation
toki ante,translate
toki Apikan,Afrikaans (language)
toki Awasa,Hausa (language)
toki awen,vi promise
toki awen,"books in libraries, preserved"
toki awen sona,course of lessons
toki awen tan,?
toki Awisi,Haitian Creole
toki e ijo,"vi reply, vt say"
toki e ijo pi X,talk about X
toki e lon,to say a truth
toki e lon ala,"vi lie, misinform"
toki e lon ala,"tell a lie, misinform"
toki e ni tawa mi!,Tell me what you think!
toki e ni: S,said that S [oratio obliqua]
toki e nimi ni: S,"said ""S"" [oratio recta]"
toki e pona pi,honor …
toki e toki pona,speak toki pona
toki Epelanto,Esperanto
toki Esuka,Basque
toki Ewantalu,Ewantal language
toki ike,vi say negative things
toki ike lon (ijo/jan),"vt say negative things about, criticize, complain about"
toki ike tawa (jan),"vt insult, say bad things to, speak rudely to"
toki ilo,computer language
toki Inli,n English language
toki Inli pona,Basic English
toki Insi,Hindi language
toki Intelinka,Interlingua language
toki Inu,"Inupiaq, Inuktitut, Eskimo language"
toki Ipo,Igbo language
toki Ito,Ido language
toki Iwisi,Hebrew language
toki Jolupa,Yoruba language
toki Kalike,Scots Gaelic language
toki kama en toki tawa,context
toki Kanse,n French language
toki Kantun,Cantonese language
toki kepeken,speak (a language)
toki kepeken toki/kalama sewi,speak in tongues
toki kepeken uta,"orally (talking, rather than writing)"
toki Kisawili,Swahili language
toki Kuwenja,"Quenya, Elvish language"
toki lawa,"command, order"
toki lawa,?
toki lawa,bar (lawyer)
toki lawa tawa e,command?
toki li pona tawa mi.,I like talking. I like languages. I like conversations. I like chatting.
toki Lolan,Loglan language
toki Loma,Latin language
toki lon,talk about
toki lon nanpa,talk about numbers
toki lon toki X,vi speak in a language
toki Losupan,Lojban language
toki luka,n sign language
toki lukin,"written word, text, books, etc"
toki Lunasimi,Quechua language
toki Malasi,Marathi language
toki musi,"vi sing vt sing n song, poem"
toki musi,joke
toki musi,sing (with words)
toki musi,lyrics
toki nanpa,computer language
toki Netelan,Dutch
toki Nijon,n Japanese language
toki Nosiki,Norwegian Bokmål
toki Nosiki sin,Norwegian Nynorsk
toki Olapu,Volapük language
toki olin,"poetry, poesy"
toki pali,"n program, plan"
toki pali,constructd language
toki Pansapi,Punjabi language
toki Pasiki,Fyksian language
toki Pasuto,Pashto language
toki pi,talk about (vi)
toki pi jo ike,language which has bad things
toki pi kalama musi,"poetry, poesy"
toki pi kalama musi,lyrics
toki pi nanpa suli,language about large numbers
toki pi nanpa wan,"primary language, L1, mother tongue"
toki pi nimi sama,oratio recta
toki pi pilin sama,oratio obliqua
toki pi tenpo mute,"n current expressions, popular expressions"
toki pi tenpo ni,current language
toki pi tenpo suno,diary
toki pilin,suggest
toki pona,"n toki pona, nice words vi say nice things"
toki pona e toki,vi speak a language well
toki pona lon,"vt say good things about, praise"
toki pona tawa,To say nice things to. To compliment.
toki sama e jan,say the same thing to someone //
toki Sameka,Jamaican Patois
toki Sami,"Saami, Laplander (language)"
toki Sankitu,Sanskrit
toki sewi,n prayer vi pray
toki sewi,vt pray vi pray
toki sewi,prayer? Religious teachings
toki sewi X,talk about X
toki sike ,"vi speak euphemistically or diplomatically n euphemism, circumlocution, hoax(?), nonsense(?)"
toki sike e X,talk around X
toki sin,reply
toki sin,constructed language
toki Sinan,n Klingon language
toki sitelen,"n written language, script"
toki sona,"n proverb, teaching"
toki sona,"saying, "
toki sona,moral (of story)
toki sona,fable
toki sona,proverbs
toki suli,"article (in newspaper, etc,)``"
toki suli,official language of a country
toki Tamasiko,"n Berber language, Tamazight"
toki Tami,n Tamil language
toki tawa,"n question, request"
toki tawa,talk to
toki tawa ja sewi,pray (Christian)
toki tawa jan sewi,pray
toki Teluku,n Telugu language
toki utala e,argue about
toki utala lon,argue about
toki utala tawa,"vt argue with, criticize"
toki Utu,Urdu
toki wawa,protest
toki wawa,"proclaim, announce, shout?"
toki wawa,"shout, protest"
toki wawa poka mi,?
toki wile,vote
TOKI*,"vi talk, speak, chat, communicate vt say, speak (a language) n language, speech, talking, communication mod verbal interj hey! hello"
tomo,mod domestic
tomo,"n house, construction, indoor constructed space, home, room, building mod urban, domestic, household"
tomo  toki,? some communication device
tomo awen,"n prison, waiting-room(Chuff)"
tomo kiwen,brick house
tomo lape,n bedroom
tomo len,tent
tomo li jo e mi.,I am in the house
tomo mani,n bank
tomo mi,"n my house, my place"
tomo mi li weka tan ni.,My house is far from here.
tomo moku,"n dining room, kitchen, grocery store, restaurant"
tomo moli,death camp
tomo nanpa wan,first house
tomo nasa,asylum
tomo pali,"n work(place), office, factory"
tomo palisa,n tower
tomo palisa,n tower
tomo pi ijo kama jo,"n store, shop"
tomo pi ijo mani mute,"n store, shop"
tomo pi jan Lisa,"Lisa's house, Lisa's place"
tomo pi ka jo ijo mute,convenience store
tomo pi kama sona,school
tomo pi kasi palisa,stick house
tomo pi kili moku,"greengrocer, produce stand"
tomo pi lipu kasi,straw house
tomo pi lon tenpo,"inn, hotel, boarding house"
tomo pi mi mute li pakala.,Our house is messed up.
tomo pi moku kili,"greengrocer, produce stand"
tomo pi moku soweli,butchery
tomo pi moku suwi,"bakery, pastry shop, confectioner, …"
tomo pi ona mute,their house
tomo pi pana e kama jo,"n store, shop"
tomo pi pona sijelo,n hospital
tomo pi soweli mu moku,butchery
tomo pi suwi moku,"bakery, pastry shop, confectioner, …"
tomo pi telo en moku pana.,n restaurant
tomo pi telo nasa,"n bar, pub, building of alcohol"
tomo pi telo nasa,"bar, saloon"
tomo seme,where?
tomo sewi,"n church, religious house, (mosque, synagogue?)"
tomo sona,"n school, university"
tomo sona suli,"college, university"
tomo sona suli,n university
tomo suli pi kama jo ijo mute,"n castle, palace"
tomo suli pi kama jo ijo mute,department store
tomo tawa,"n vehicle, car (moving construction)"
tomo tawa kon,"n airplane, helicopter, jet (air transport)"
tomo tawa kon utala,n fighter jet
tomo tawa kulupu pi anpa ma,subway
tomo tawa kulupu pi sike mute,train
tomo tawa kulupu pi sike tu tu,"bus, auto bus, pullman, …"
tomo tawa pi insa ma,subway
tomo tawa pi jan mute,public transportation
tomo tawa pi jan mute,bus
tomo tawa pi kulupu jan,public transportation
tomo tawa pi linja tu,trolley
tomo tawa sina li pakala ala pakala?,Is your car broken down? Is your car messed up? Is there a problem with your car? Are you having car trouble?
tomo tawa telo,"n boat, ship"
tomo tawa telo kon,n sailboat
tomo tawa telo utala,n warship
tomo telo,"n bathroom, restroom, WC mod bathroom"
tomo toki,"n chat room, conference room, IRC"
tomo unpa,"n bedroom, boudoir, brothel, sex house"
tomo utala,n fortress
TOMO*,"n home, house, building, room, enclosed space, indoor constructed space mod household, urban"
tu e lipu,cut
tu tu,mod four
tu wan,mod three
TU*,"mod two n duo, pair vt double, split, separate, cut, divide in two, halve, vi split, separate, divide"
unpa nasa,n kinky sex
unpa pilin,mod sexy
unpa sama soweli,n doggy style
unpa uta,n oral sex
UNPA*,"vi have sex vt have sex with, sleep with n sex, sexuality mod sexual, erotic"
uta kiwen,"beak,  bill"
UTA*,n mouth mod oral
utala,vt strike
utala ala,ahimsa
utala li ike tawa mi.,I don't like war. I don't like fighting.
utala li ike.,Conflict is bad.
utala musi,"n game, competition, match"
utala pi jan tu olin,n domestic abuse/violence
utala pi ma tomo telo Po,Attack on Pearl Harbor
utala sewi,n holy war
utala suli,World War
utala toki,vi argue
utala toki,"vi argue, debate vt argue with, debate"
UTALA*,"n war, conflict, disharmony, competition, fight, battle, attack, blow, argument, physical/verbal violence vi fight vt hit, strike, attack, compete against"
wab pi kama sona,credit hour
walo pimeja,mod/n gray (dark white)
walo uta,n teeth
WALO*,"mod white, light (color) n white thing, whiteness, lightness"
wan,mod one
wan,"n part, particle"
wan,n piece
wan,whole
wan en luka tu tu en luka tu wan en luka tu,1987
wan kalama,syllable
wan lete pi sike ma,Arctic
wan nimi,syllable
wan nimi,syllable
wan pali pi kulupu nimi pini,predicate
Wan pi Ma Lili Mewika,USA
Wan pi Ma Lili Mute (Mewika),United States (of America)
wan pi nanpa tu pi kulupu nimi pini,predicate
wan pi nanpa wan pi kulupu nimi pini,subject
wan pi pali ala pi kulupu nimi pini,subject
wan pi sona toki,language lesson
wan pi tenpo sike,season of the year
wan pi tenpo wan li sama e, 1 x 1 =
wan pi wan nimi,letter
wan pi wan nimi,letter (of alphabet)
wan poka,married to
wan poka wan li sama e, 1 + 1 =
wan sijelo,n body part
wan sona toki,language lesson
wan suli,important part? Large part?
wan suli,big/important part (of everything)?
WAN*,"mod one, alone, lonesome, solitary, single n unit, element, particle, part, piece vt to unite, to make one vi to unite, to get married"
waso,fly
waso akesi,pterodactyl
waso kiwen,airplane
waso kule toki,parrot
waso li ken ala lukin la ona li kin ken jo e kili. :: A blind chicken can find a corn too. ,...?
waso li tawa lon kon.,Birds fly in air.
waso ma,ostrich
waso ma pi tawa mute,ostrich
waso pi ma lete,penguin
waso pimeja,"crow, raven"
waso soweli,bat
waso toki,parrot
waso walo telo,seagull
WASO*,"n bird, bat, chicken, poultry, winged animal"
wawa,vt strengthen n strength
wawa,"mod difficult, hard"
wawa,"vt empower, vi strengthen"
wawa,mod energetic
wawa,"vt energize, n energy"
wawa,mod fierce
wawa,"n force, power, strength"
wawa,mod sure
wawa  sin,stronger
wawa ala,vi be weak
wawa ala,weak(ly)
wawa ala sin,weaker?
wawa li lon insa.,Energy comes from inside. Youth is all in the heart.
wawa lili,impotent
wawa pi tu wan,power of three
wawa pi weka kon,so strong it takes your breath away
